,Ultimate Parent Name,Ultimate Parent ISIN,Asset ID,Latitude,Longitude,Activity Description,ExposureScore_Composite_ModerateHigh_2020,ExposureScore_Composite_ModerateHigh_2030,ExposureScore_Composite_ModerateHigh_2040,ExposureScore_Composite_ModerateHigh_2050,ExposureScore_Composite_ModerateHigh_2060,ExposureScore_Composite_ModerateHigh_2070,ExposureScore_Composite_ModerateHigh_2080,ExposureScore_Composite_ModerateHigh_2090
14893,China,,608657,31.87674,120.5516,Bank Branch,66,68,67,72,74,75,76,79
10545,China,,501709,43.90633,125.3172,Bank Branch,79,80,79,81,82,81,86,86
51079,Bank of Comms Co. Ltd.,CNE100000205,762493,22.60667,113.0927,Bank Branch,67,66,65,67,69,70,72,72
7746,Dynavolt Renewable Energy Tech,CNE100001F45,4913262,23.147217,113.32383,Company Headquarters,63,64,62,64,68,67,69,72
52927,Ping An Ins (Grp) Co. CN Ltd,CNE1000003X6,747964,30.46627,114.4459,Bank Branch,66,67,73,74,78,76,79,81
16178,China,,449837,34.51629,110.8692,Bank Branch,69,74,74,74,77,78,80,80
2377,China,,496780,34.92579,117.2182,Bank Branch,72,77,76,75,77,78,80,81
10572,China,,526527,23.71899,107.9974,Bank Branch,68,72,71,73,76,78,76,81
384,The Hachijuni Bank,JP3769000005,512265,31.24239,121.498,Bank Branch,79,80,81,84,86,86,87,88
35694,SASAC,,73343,21.70581,112.26038,Power Plant,73,74,74,76,80,83,84,85
10377,China Jinmao Hldgs. Group Ltd.,HK0817039453,10209922,37.44748,121.45619,Multi-Use,78,80,81,82,83,84,87,88
23884,China,,492132,40.64575,109.8512,Bank Branch,74,73,78,77,80,81,82,81
14808,China,,691748,22.69408,110.3443,Bank Branch,70,70,73,74,78,80,80,83
33644,China,,501900,32.63787,115.6021,Bank Branch,64,69,68,72,77,78,78,79
28681,China,,583241,23.43713,116.144,Bank Branch,70,71,71,71,73,75,77,79
39405,China,,494433,37.19441,122.0622,Bank Branch,79,81,83,84,85,87,89,90
18473,China,,423590,36.63031,101.778,Bank Branch,65,63,68,69,74,77,78,80
54632,China,,419675,31.48305,120.49,Bank Branch,78,80,81,85,87,88,89,90
26791,China,,493869,29.87927,121.5981,Bank Branch,74,75,76,78,81,80,83,84
