,Ultimate Parent Name,Country,Ultimate Parent ISIN,Latitude,Longitude,ExposureScore_Composite_ModerateHigh_2020,ExposureScore_Composite_ModerateHigh_2030,ExposureScore_Composite_ModerateHigh_2040,ExposureScore_Composite_ModerateHigh_2050,ExposureScore_Composite_ModerateHigh_2060,ExposureScore_Composite_ModerateHigh_2070,ExposureScore_Composite_ModerateHigh_2080,ExposureScore_Composite_ModerateHigh_2090
20357,Société Générale Société anony,France,FR0000130809,-21.17018,55.28808,37,37,37,40,41,43,45,47
27975,Ministry of Finance,Poland,,53.13937,18.02983,68,69,68,74,77,77,81,83
4997,China,China,,25.09567,104.9052,65,68,70,74,78,82,83,84
24231,China,China,,18.25598,109.4994,67,69,69,71,75,79,80,80
17762,ICICI Bank,India,INE090A01021,19.05293,72.82429,46,55,56,54,57,59,64,65
14340,India,India,,29.52635,77.22362,81,77,74,73,74,72,70,75
20756,India,China,,39.91279,116.4762,78,79,78,75,78,76,77,78
10081,China,China,,32.64924,110.7875,65,67,69,69,73,75,77,79
49149,Byblos Bank S.A.L.,Lebanon,LB0000010613,33.86942,35.49062,68,72,74,74,76,77,78,80
55273,NEXT plc,United Kingdom,GB0032089863,51.889471,0.8981551,71,77,75,82,86,86,90,91
11937,Banco Santander S.A.,Spain,ES0113900J37,41.56247,2.228241,79,81,79,83,86,89,91,91
48908,Kotak Mahindra Bank,India,INE237A01028,28.58756,77.04334,83,79,75,73,74,71,68,74
51899,Superdry plc,United Kingdom,GB00B60BD277,51.7335749,0.4722831,69,72,70,75,78,78,82,83
25647,India,India,,25.46254,84.41618,74,74,70,68,68,64,65,67
19031,BNP Paribas,Poland,FR0000131104,50.56471,21.16798,67,71,71,76,79,80,83,85
46278,China,China,,42.01223,121.6627,72,70,67,68,67,68,70,69
14385,China,China,,27.04919,108.4296,68,71,73,76,82,85,86,89
49842,China Banking Corp.,Philippines,PHY138161229,15.16279,120.6098,79,76,76,80,81,83,85,87
2152,CaixaBank S.A.,Spain,ES0140609019,42.87368,-8.545704,74,76,73,76,78,80,84,85
28007,NatWest Group plc,Ireland,GB00B7T77214,54.65424,-8.10725,72,75,75,78,78,82,82,85
1165,Tesco PLC,United Kingdom,GB00BLGZ9862,53.5267259,-2.6460393,74,75,72,76,78,82,83,87
9119,Banco Santander S.A.,Spain,ES0113900J37,38.82501,-0.605087,78,83,82,85,87,88,90,91
33439,Bank of Qingdao Co. Ltd.,China,CNE100002391,35.08733,117.2023,68,69,68,67,68,67,67,70
22011,Caisse Régionale de Crédit Agr,France,FR0010461053,43.55849,4.090046,51,50,48,54,56,60,65,64
